# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar  9 11:52:19 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
#
pl_name,hostname,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Hubble Space Telescope,,,,,15.000000,,,0,12.600,,,0,1.130,,,0,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0,Mass,,,,,,,,,,,,,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Paranal Observatory,,,,,46.000000,5.000000,-5.000000,0,13.000,,,0,1.160,,,0,1271.00000,318.00000,-318.00000,0,4.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1150,150,-150,0,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Kepler,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,13.400,,,0,1.200,,,0,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0,Mass,,,,,,,,,,,,,0
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,W. M. Keck Observatory,7336.50000000,1934.50000000,-584.00000000,0,,,,,10.310,4.370,-4.040,0,0.920,0.390,-0.360,0,6657.48000,26629.91000,-6657.48000,0,20.95000,83.79000,-20.95000,0,Mass,0.260000,0.060000,-0.060000,0,,,,,2075,70,-70,0,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,W. M. Keck Observatory,,,,,230.000000,20.000000,-20.000000,0,12.300,,,0,1.100,,,0,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0,Mass,,,,,,,,,,,,,0
30 Ari B b,30 Ari B,Thueringer Landessternwarte Tautenburg,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,12.300,,,0,1.100,,,0,4392.41060,572.09400,-572.09400,0,13.82000,1.80000,-1.80000,0,Msini,0.290000,0.090000,-0.090000,0,,,,,,,,,0
4 UMa b,4 UMa,Thueringer Landessternwarte Tautenburg,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,12.700,,,0,1.130,,,0,2256.50000,508.50000,-508.50000,0,7.10000,1.60000,-1.60000,0,Msini,0.432000,0.024000,-0.024000,0,,,,,,,,,0
42 Dra b,42 Dra,Thueringer Landessternwarte Tautenburg,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,13.000,,,0,1.160,,,0,1233.13000,270.14000,-270.14000,0,3.88000,0.85000,-0.85000,0,Msini,0.380000,0.060000,-0.060000,0,,,,,,,,,0
47 UMa b,47 UMa,Lick Observatory,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,13.200,,,0,1.180,,,0,804.08000,22.25000,-19.07000,0,2.53000,0.07000,-0.06000,0,Msini,0.032000,0.014000,-0.014000,0,,,,,,,,,0
47 UMa c,47 UMa,Lick Observatory,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,14.200,,,0,1.270,,,0,171.62100,20.97600,-23.20100,0,0.54000,0.06600,-0.07300,0,Msini,0.098000,0.047000,-0.096000,0,,,,,,,,,0
47 UMa d,47 UMa,Lick Observatory,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,13.500,,,0,1.200,,,0,521.22000,92.17000,-152.55000,0,1.64000,0.29000,-0.48000,0,Msini,0.160000,0.090000,-0.160000,0,,,,,,,,,0
51 Eri b,51 Eri,Gemini Observatory,11688.00000000,6209.25000000,-3287.25000000,0,12.000000,4.000000,-2.000000,0,13.400,,,0,1.190,,,0,635.66000,,,0,2.00000,,,0,Mass,0.450000,0.100000,-0.150000,0,,,,,700,,,0,0
51 Peg b,51 Peg,Haute-Provence Observatory,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,14.300,,,0,1.270,,,0,146.20180,19.06980,-3.17830,0,0.46000,0.06000,-0.01000,0,Mass,0.013000,0.012000,-0.012000,0,,,,,,,,,0
55 Cnc b,55 Cnc,Lick Observatory,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,13.900,,,0,1.240,,,0,263.97850,1.04880,-1.04880,0,0.83060,0.00330,-0.00330,0,Mass,0.000000,0.010000,-0.010000,0,,,,,700,,,0,0
55 Cnc c,55 Cnc,McDonald Observatory,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,8.510,,,0,0.760,,,0,54.47380,1.74800,-1.74800,0,0.17140,0.00550,-0.00550,0,Mass,0.030000,0.020000,-0.020000,0,,,,,,,,,0
55 Cnc d,55 Cnc,Lick Observatory,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,13.000,,,0,1.160,,,0,1232.49300,21.61200,-21.61200,0,3.87800,0.06800,-0.06800,0,Mass,0.130000,0.020000,-0.020000,0,,,,,,,,,0
55 Cnc e,55 Cnc,McDonald Observatory,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,1.875,0.029,-0.029,0,0.167,0.003,-0.003,0,7.99000,0.32000,-0.33000,0,0.02514,0.00101,-0.00104,0,Mass,0.050000,0.030000,-0.030000,0,,,,,1958,15,-15,0,0
55 Cnc f,55 Cnc,Multiple Observatories,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,7.590,,,0,0.677,,,0,44.81200,3.81400,-3.81400,0,0.14100,0.01200,-0.01200,0,Mass,0.080000,0.050000,-0.040000,0,,,,,,,,,0
6 Lyn b,6 Lyn,Okayama Astrophysical Observatory,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,13.400,,,0,1.190,,,0,638.83830,24.47291,-24.47291,0,2.01000,0.07700,-0.07700,0,Msini,0.073000,0.036000,-0.036000,0,,,,,,,,,0
61 Vir b,61 Vir,Multiple Observatories,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,2.110,,,0,0.188,,,0,5.10000,0.50000,-0.50000,0,0.01600,0.00200,-0.00200,0,Msini,0.120000,0.110000,-0.110000,0,,,,,,,,,0
61 Vir c,61 Vir,Multiple Observatories,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,4.460,,,0,0.398,,,0,18.20000,1.10000,-1.10000,0,0.05700,0.00300,-0.00300,0,Msini,0.140000,0.060000,-0.060000,0,,,,,,,,,0
61 Vir d,61 Vir,Multiple Observatories,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,5.110,,,0,0.456,,,0,22.90000,2.60000,-2.60000,0,0.07200,0.00800,-0.00800,0,Msini,0.350000,0.090000,-0.090000,0,,,,,,,,,0
7 CMa b,7 CMa,Anglo-Australian Telescope,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,13.400,,,0,1.200,,,0,587.98550,19.06980,-19.06980,0,1.85000,0.06000,-0.06000,0,Msin(i)/sin(i),0.060000,0.030000,-0.030000,0,,,,,,,,,0
7 CMa c,7 CMa,Multiple Observatories,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,13.900,,,0,1.240,,,0,276.51210,19.06980,-19.06980,0,0.87000,0.06000,-0.06000,0,Msin(i)/sin(i),0.080000,0.050000,-0.040000,0,,,,,,,,,0
70 Vir b,70 Vir,Lick Observatory,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,12.600,,,0,1.130,,,0,2380.45000,193.87000,-193.87000,0,7.49000,0.61000,-0.61000,0,Mass,0.398800,0.001900,-0.001900,0,,,,,,,,,0
75 Cet b,75 Cet,Okayama Astrophysical Observatory,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,13.100,,,0,1.170,,,0,953.49000,,,0,3.00000,,,0,Msini,0.117000,0.048000,-0.048000,0,,,,,,,,,0
8 UMi b,8 UMi,Bohyunsan Optical Astronomical Observatory,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,13.600,,,0,1.220,,,0,416.35730,50.85280,-50.85280,0,1.31000,0.16000,-0.16000,0,Msini,0.060000,0.090000,-0.090000,0,,,,,,,,,0
81 Cet b,81 Cet,Okayama Astrophysical Observatory,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,12.800,,,0,1.140,,,0,1684.40000,,,0,5.30000,,,0,Msini,0.206000,0.029000,-0.029000,0,,,,,,,,,0
91 Aqr b,91 Aqr,Lick Observatory,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,13.100,,,0,1.170,,,0,1017.00000,,,0,3.20000,,,0,Msini,0.027000,0.026000,-0.026000,0,,,,,,,,,0
AB Pic b,AB Pic,Paranal Observatory,,,,,260.000000,,,0,12.300,,,0,1.100,,,0,4290.50000,158.90000,-158.90000,0,13.50000,0.50000,-0.50000,0,Mass,,,,,,,,,,,,,0
AU Mic b,AU Mic,Transiting Exoplanet Survey Satellite (TESS),8.46321000,0.00004000,-0.00004000,0,0.066000,0.007000,-0.006000,0,4.203,0.202,-0.202,0,0.375,0.018,-0.018,0,57.20940,,,1,0.18000,,,1,Msini,0.100000,0.170000,-0.090000,0,,,,,,,,,0
BD+03 2562 b,BD+03 2562,Multiple Observatories,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,12.700,,,0,1.130,,,0,2034.11200,413.17900,-413.17900,0,6.40000,1.30000,-1.30000,0,Msini,0.200000,0.120000,-0.080000,0,,,,,,,,,0
BD+14 4559 b,BD+14 4559,McDonald Observatory,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,13.800,,,0,1.230,,,0,330.54320,149.38010,-149.38010,0,1.04000,0.47000,-0.47000,0,Msini,0.290000,0.030000,-0.030000,0,,,,,,,,,0
BD+15 2375 b,BD+15 2375,Roque de los Muchachos Observatory,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,13.800,,,0,1.230,,,0,337.21763,85.81410,-85.81410,0,1.06100,0.27000,-0.27000,0,Msini,0.001000,0.250000,-0.001000,0,,,,,,,,,0
BD+15 2940 b,BD+15 2940,McDonald Observatory,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,13.700,,,0,1.230,,,0,352.78000,,,0,1.11000,,,0,Msini,0.260000,0.100000,-0.100000,0,,,,,,,,,0
BD+20 2457 b,BD+20 2457,McDonald Observatory,379.63000000,2.00000000,-2.00000000,0,1.050000,0.070000,-0.070000,0,11.600,,,0,1.030,,,0,17668.16970,24965.54650,-24965.54650,0,55.59000,78.55000,-78.55000,0,Msini,0.150000,0.030000,-0.030000,0,,,,,,,,,0
BD+20 2457 c,BD+20 2457,McDonald Observatory,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,12.400,,,0,1.100,,,0,3963.17000,,,0,12.47000,,,0,Msini,0.180000,0.060000,-0.060000,0,,,,,,,,,0
BD+20 274 b,BD+20 274,McDonald Observatory,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,13.000,,,0,1.160,,,0,1334.88600,,,0,4.20000,,,0,Msini,0.210000,0.060000,-0.060000,0,,,,,,,,,0
BD+20 594 b,BD+20 594,K2,41.68550000,0.00300000,-0.00300000,0,0.241000,0.019000,-0.017000,0,2.578,0.112,-0.112,0,0.230,0.010,-0.010,0,22.24810,9.53490,-9.53490,0,0.07000,0.03000,-0.03000,0,Mass,0.000000,,,0,,,,,546,19,-18,0,0
BD+48 738 b,BD+48 738,McDonald Observatory,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,13.900,,,0,1.240,,,0,289.22530,,,0,0.91000,,,0,Msini,0.200000,0.100000,-0.100000,0,,,,,,,,,0
BD+48 740 b,BD+48 740,Multiple Observatories,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,13.500,,,0,1.200,,,0,540.31100,222.48100,-222.48100,0,1.70000,0.70000,-0.70000,0,Msini,0.760000,0.050000,-0.090000,0,,,,,,,,,0
BD+49 828 b,BD+49 828,McDonald Observatory,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,13.500,,,0,1.210,,,0,508.50000,127.10000,-63.60000,0,1.60000,0.40000,-0.20000,0,Msini,0.350000,0.240000,-0.100000,0,,,,,,,,,0
BD-06 1339 b,BD-06 1339,La Silla Observatory,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,2.850,,,0,0.254,,,0,8.50000,1.30000,-1.30000,0,0.02700,0.00400,-0.00400,0,Msini,0.000000,,,0,,,,,,,,,0
BD-06 1339 c,BD-06 1339,La Silla Observatory,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,8.380,,,0,0.747,,,0,53.00000,8.00000,-8.00000,0,0.17000,0.03000,-0.03000,0,Msini,0.310000,0.110000,-0.110000,0,,,,,,,,,0
BD-08 2823 b,BD-08 2823,La Silla Observatory,5.60000000,0.02000000,-0.02000000,0,0.060000,0.000000,0.000000,0,3.610,,,0,0.322,,,0,12.71320,3.17830,-3.17830,0,0.04000,0.01000,-0.01000,0,Msini,0.150000,0.150000,-0.150000,0,,,,,,,,,0
BD-08 2823 c,BD-08 2823,La Silla Observatory,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,12.500,,,0,1.110,,,0,104.00000,10.00000,-10.00000,0,0.33000,0.03000,-0.03000,0,Msini,0.190000,0.090000,-0.090000,0,,,,,,,,,0
BD-10 3166 b,BD-10 3166,W. M. Keck Observatory,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,14.100,,,0,1.260,,,0,187.51970,22.24810,-22.24810,0,0.59000,0.07000,-0.07000,0,Msini,0.020000,0.020000,-0.020000,0,,,,,,,,,0
BD-11 4672 b,BD-11 4672,La Silla Observatory,1634.00000000,13.00000000,-14.00000000,0,2.360000,0.040000,-0.040000,0,14.100,,,0,1.250,,,0,206.58950,15.89150,-19.06980,0,0.65000,0.05000,-0.06000,0,Msini,0.050000,0.050000,-0.030000,0,,,,,,,,,0
BD-11 4672 c,BD-11 4672,Roque de los Muchachos Observatory,74.20000000,0.06000000,-0.08000000,0,0.300000,0.010000,-0.010000,0,4.040,,,0,0.360,,,0,15.37000,2.97000,-2.81000,0,0.04836,0.00934,-0.00884,0,Msini,0.400000,0.130000,-0.150000,0,,,,,,,,,0
BD-13 2130 b,BD-13 2130,La Silla Observatory,714.29999000,5.30000000,-5.30000000,0,1.660000,0.120000,-0.120000,0,12.500,,,0,1.110,,,0,3108.37740,1449.30480,-1449.30480,0,9.78000,4.56000,-4.56000,0,Msini,0.210000,0.070000,-0.070000,0,,,,,,,,,0
BD-17 63 b,BD-17 63,La Silla Observatory,655.60000000,0.60000000,-0.60000000,0,1.340000,0.020000,-0.020000,0,12.800,,,0,1.150,,,0,1620.90000,38.14000,-38.14000,0,5.10000,0.12000,-0.12000,0,Msini,0.540000,0.005000,-0.005000,0,,,,,,,,,0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,W. M. Keck Observatory,10037.50000000,2737.50000000,-2737.50000000,0,2.600000,0.300000,-0.300000,0,12.400,,,0,1.110,,,0,3337.10000,1430.20000,-1430.20000,0,10.50000,4.50000,-4.50000,0,Mass,,,,,,,,,370,40,-40,0,0
CHXR 73 b,CHXR 73,Hubble Space Telescope,,,,,210.000000,,,0,12.300,,,0,1.100,,,0,3994.48600,2662.99100,-1664.36900,0,12.56900,8.37900,-5.23700,0,Mass,,,,,,,,,,,,,0
CI Tau b,CI Tau,Multiple Observatories,8.98910000,0.02020000,-0.02020000,0,,,,,12.400,,,0,1.110,,,0,3686.82800,921.70700,-858.14100,0,11.60000,2.90000,-2.70000,0,Mass,0.250000,0.160000,-0.160000,0,,,,,,,,,0
CT Cha b,CT Cha,Paranal Observatory,,,,,440.000000,,,0,24.660,9.080,-6.730,0,2.200,0.810,-0.600,0,5403.00000,1907.00000,-1907.00000,0,17.00000,6.00000,-6.00000,0,Mass,,,,,,,,,2600,250,-250,0,0
CoRoT-1 b,CoRoT-1,CoRoT,1.50895570,0.00000640,-0.00000640,0,0.027520,0.000220,-0.000230,0,16.700,0.900,-0.900,0,1.490,0.080,-0.080,0,327.35000,38.14000,-38.14000,0,1.03000,0.12000,-0.12000,0,Mass,0.000000,,,0,,,,,1898,50,-50,0,0
CoRoT-10 b,CoRoT-10,CoRoT,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,10.870,0.780,-0.780,0,0.970,0.070,-0.070,0,874.00000,50.85000,-50.85000,0,2.75000,0.16000,-0.16000,0,Mass,0.530000,0.040000,-0.040000,0,,,,,600,23,-23,0,0
CoRoT-11 b,CoRoT-11,CoRoT,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,16.030,0.340,-0.340,0,1.430,0.030,-0.030,0,740.51000,108.06000,-108.06000,0,2.33000,0.34000,-0.34000,0,Mass,0.000000,,,0,,,,,1657,55,-55,0,0
